phase,ลำดับ PWA,ลำดับ PEA,กปภ.สาขา,แม่ข่่าย/หน่วยบริการ,สถานที่,เลขบัญชีผู้ใช้ไฟ,หมายเลขมิเตอร์,Team,Zero export,กำลังการผลิต,Layout,Pvsyst,For Con Rev.00,Civil Check,EE Check,รายการคำนวณ,จำนวนแผง,125 kW,80 kW,60 kW,40 kW,FTS,REVENUE,PQM,ประเภทมิเตอร์ไฟ,มิเตอร์น้ำ,ประเภทที่ดิน,กปภ.เขต,กฟภ.เขต,กฟภ.เขต,Lat,Long,จัังหวัด,Column 1,TEAM,ที่อยู่,Team เก่า,Column 36
2,44,26,กปภ.สาขากบินทร์บุรี,-,สถานีผลิตน้ำบ้านนางเลง,20000900636,6400049552,C,MV,190.38,1,1,1,,,1,334,1,,1,,5,1,1,แรงสูง,,ไม่มีข้อมูล,1,ก.1,ก,13.9616361,101.729307,ปราจีนบุรี,1,C,ต.กบินทร์ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,C,1
2,45,27,กปภ.สาขาปราจีนบุรี,-,สถานีผลิตน้ำบางบริบูรณ์,20000591399,23077217,C,MV,416.1,1,1,1,,,1,730,2,2,,,13,1,1,แรงสูง,,เช่าที่ราชพัสดุ,1,ก.1,ก,14.0575,101.3917,ปราจีนบุรี,1,C,ต.ดงพระราม อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,C,1
2,46,28,กปภ.สาขาปราจีนบุรี,น.ศรีมหาโพธิ์,สถานีผลิตน้ำท่าตูม,20016563932,6300406098,C,MV,216.6,1,1,1,,,1,380,1,1,,,6,1,1,แรงสูง,,ที่ดิน กปภ.,1,ก.1,ก,13.93556,101.55021,ปราจีนบุรี,1,C,ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,C,1
2,47,29,กปภ.สาขาปราจีนบุรี,น.ศรีมหาโพธิ์,สถานีผลิตน้ำศรีมหาโพธิ,20000342403,27676125,C,LV,91.2,1,0,1,,,1,160,,1,,,3,1,0,มิเตอร์อยู่ที่เสาหม้อแปลง,,ที่ดิน กปภ.,1,ก.1,ก,13.9648,101.509,ปราจีนบุรี,1,C,ต.ศรีมหาโพธิ อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,S,0
2,48,30,กปภ.สาขาวัฒนานคร,ม.วัฒนานคร,สถานีผลิตน้ำวัฒนานคร,20000674729,27667307,C,MV,125.4,1,1,1,,,1,220,1,,,,4,1,1,แรงสูง,,ไม่มีข้อมูล,1,ก.1,ก,13.7504806,102.322174,สระแก้ว,1,C,ต.วัฒนานคร อ.วัฒนานคร จ.สระแก้ว 27160,S,0
2,49,31,กปภ.สาขาสระแก้ว,ม.สระแก้ว,สถานีผลิตน้ำสระแก้ว-สระขวัญ,20000965973,23054004,C,MV,241.68,1,1,1,,,1,424,2,,,,6,1,1,แรงสูง,,ที่สาธารณประโยชน์,1,ก.1,ก,13.82389,102.05768,สระแก้ว,1,C,ต.สระแก้ว อ.เมืองสระแก้ว จ.สระแก้ว 27000,C,1
2,50,32,กปภ.สาขาสระแก้ว,สระแก้ว,สถานีผลิตน้ำวังสำลี,20016608365,6600244510,C,LV,102.6,1,1,1,,,1,180,,,1,1,4,1,0,มิเตอร์อยู่ที่เสาหม้อแปลง,,ไม่มีข้อมูล,1,ก.1,ก,13.44051,102.1642,สระแก้ว,1,C,ต.วังใหม่ อ.วังสมบูรณ์ จ.สระแก้ว 27250,S,0
2,51,33,กปภ.สาขาอรัญประเทศ,ม.อรัญประเทศ,สถานีผลิตน้ำพระปรง,20021751934,6300406481,C,MV,307.8,1,1,1,,,1,540,2,,1,,10,1,1,แรงสูง,,ขอใช้พื้นที่ในเขตป่าสงวนตามประกาศกรมป่าไม้ ฉบับที่ 33/2560 ลว.31 ตุลาคม 2560,1,ก.1,ก,13.9974018,102.426753,สระแก้ว,1,C,ต.ช่องกุ่ม อ.วัฒนานคร จ.สระแก้ว 27160,C,1
2,52,34,กปภ.สาขาอรัญประเทศ,ม.อรัญประเทศ,สถานีผลิตน้ำบ้านด่าน,20000841763,23054381,C,MV,256.5,1,1,1,,,1,450,2,,,,6,1,1,แรงสูง,,ไม่มีข้อมูล,1,ก.1,ก,13.7225033,102.466237,สระแก้ว,1,C,ต.บ้านด่าน อ.อรัญประเทศ จ.สระแก้ว 27120,S,0
2,53,38,กปภ.สาขาแหลมฉบัง,ม.แหลมฉบัง,โรงกรองน้ำเนินไร่สอง,20001728743,27668855,C,MV,175.56,1,1,1,,,1,308,,2,,,6,1,1,แรงสูง,,เช่าที่ราชพัสดุ,1,ก.2,ก,13.09905,100.9368,ชลบุรี,1,S,ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,S,1
2,54,39,กปภ.สาขาชลบุรี,ม.ชลบุรี,สถานีจ่ายน้ำบางแสน,20002048075,23048471,C,MV,175.56,1,1,1,,,1,308,,2,,,5,1,1,แรงสูง,,เช่าที่ราชพัสดุ,1,ก.2,ก,13.29131,100.91221,ชลบุรี,1,S,ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี 20130,S,1
2,55,40,กปภ.สาขาชลบุรี,ชลบุรี,สถานีผลิตน้ำบางพระ3,20010801405,6300106062,C,MV,689.7,1,1,1,,,1,1210,4,2,,,16,1,1,แรงสูง,,ที่ดิน กปภ.,1,ก.2,ก,13.19835,100.9569,ชลบุรี,1,S,ต.บางพระ อ.ศรีราชา จ.ชลบุรี 20110,S,1
